lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.13916
# Diagonal elements of inverse mass matrix:
# 1.30294, 1.05218, 0.504778, 0.440682, 0.417415, 0.503078, 0.366143, 0.402445, 0.390516, 0.331843, 0.251626, 0.351187, 0.395873, 0.284844, 0.382098, 0.375582, 0.320977, 0.393777, 0.440704, 0.349359, 0.316018, 0.331197, 1.17351, 0.466618, 0.472981, 0.360029, 0.427284, 0.448524, 0.354129, 0.305444, 0.368157, 0.375013
-861.602,0.89061,0.13916,5,31,0,872.239,2.57736,-0.818681,-0.347,-0.231863,1.41812,-1.00431,1.29593,-0.749815,0.947084,0.88942,-0.0990614,-0.293122,-0.877655,-0.582038,-0.747646,-0.280722,0.293191,0.862348,-0.627934,0.284605,0.0633799,0.465917,1.79554,1.3598,1.27548,-0.300287,0.175497,-0.387043,-0.463139,0.0473474,0.452096,0.450432,20,-41.0095,-39.6591,-41.333,-35.1603,-36.7017,-37.2772,-34.4612,-37.0042,-35.1416,-37.6823,-37.4056,-40.2367,-36.8825,-36.7222,-44.3504,-37.4291,-42.7169,-43.1596,-40.7496,-39.6517,-37.6512,-36.5985
-854.304,0.929254,0.13916,5,31,0,872.881,2.95913,-0.264448,0.868916,0.713113,0.658416,-0.0991979,0.114318,-0.175172,0.177688,0.840715,-0.417218,0.59677,-0.531993,-0.62953,-0.273033,-0.284144,0.249183,0.268402,0.0427738,0.17839,0.222497,0.105961,1.91046,0.468286,0.365834,0.712196,0.538654,-0.050138,-0.506279,0.334633,0.624765,0.442789,20,-37.6705,-38.6263,-37.8247,-36.3332,-36.5458,-39.3107,-36.4558,-36.8223,-35.9357,-35.4884,-35.2467,-39.1897,-36.5338,-35.0814,-44.7444,-41.6139,-43.0059,-41.9416,-44.1369,-37.5084,-37.974,-38.0781
-856.133,0.801701,0.13916,6,63,0,874.132,3.15596,-0.318331,0.827551,-0.408363,0.195029,-0.303432,0.0778662,-0.129107,-0.156039,-0.766589,-0.0771986,-1.14635,0.151116,0.139852,0.203636,-0.0932952,0.128276,-0.717699,-0.495393,0.0821599,0.268286,0.28981,0.689003,-0.459037,0.386359,-0.190561,-0.765856,0.0457221,0.00488289,-0.562258,-1.45557,-0.385009,20,-39.4648,-38.0866,-40.122,-38.0038,-36.7998,-36.6938,-35.5951,-37.2817,-35.2982,-37.6149,-37.9931,-38.8004,-37.3109,-36.4969,-44.806,-39.2226,-41.3271,-42.4407,-42.4723,-38.7426,-37.7628,-36.1511
-855.889,0.815052,0.13916,6,63,0,871.742,3.16655,0.0400584,1.65955,0.0680628,0.762124,0.333445,0.617617,0.767026,-0.143697,0.322595,-0.151806,-0.110274,-0.031327,-0.338392,0.115552,0.553762,0.0327786,-0.52575,0.177767,-0.0710466,0.160771,0.578557,0.584658,-0.413974,0.124513,0.290743,-1.1111,0.15628,-0.32316,-0.479284,-0.81585,0.136785,20,-38.6474,-38.6187,-41.3393,-35.1851,-36.3684,-36.8867,-36.1602,-38.8285,-34.1216,-35.2108,-36.4167,-37.5055,-38.8623,-34.9427,-44.9191,-39.2213,-42.4837,-45.2524,-43.3213,-40.1107,-37.6846,-35.9924
-854.025,0.98515,0.13916,6,63,0,866.722,3.94704,0.181764,0.878501,0.751947,0.988994,0.0386151,0.117596,-0.594254,0.401962,-0.244853,-0.262902,-0.770659,-0.92336,-0.322153,-0.734499,-0.237359,0.66201,0.131662,-0.0913081,0.138969,-0.0656695,0.173753,0.888987,-0.314454,-0.0506831,0.360522,0.0360022,-0.240334,-0.0773786,-0.248204,0.592256,-0.326196,20,-37.3058,-37.5992,-37.9966,-37.0676,-35.0999,-38.1456,-34.3909,-36.8668,-36.0064,-37.0249,-36.9251,-38.4805,-35.7964,-35.9185,-45.2034,-40.002,-45.652,-43.4632,-42.8015,-37.3345,-38.2271,-38.6413
-859.719,0.936348,0.13916,5,31,0,871.866,2.80412,-0.766275,0.785249,0.174088,0.212955,-0.701105,-0.777229,-1.24015,0.903233,-0.0634684,-0.199529,-0.617556,-0.294328,-0.571025,-0.0959659,-1.07339,1.98321,0.470558,-0.387119,1.50304,-0.000837276,0.28789,0.942299,0.0222984,0.395872,1.01641,0.641697,-0.818239,-0.246435,0.0748114,-0.247182,-1.47385,20,-39.5275,-37.7195,-38.6213,-36.8081,-37.1427,-35.3128,-36.1537,-36.8021,-37.0753,-36.6419,-37.2274,-39.7466,-36.5802,-37.2213,-41.8791,-36.1578,-45.3488,-44.7677,-39.503,-38.1862,-40.5165,-38.119
-857.703,0.933725,0.13916,6,63,0,873.064,3.07368,0.221991,0.555917,0.558819,1.60217,-0.237777,1.68247,0.247957,0.143961,-0.183583,-0.0707393,-1.10876,-0.4759,-0.268068,-0.33182,0.292225,-0.469513,-0.00840453,0.416103,-0.574115,0.231697,-0.114094,0.805645,-0.269934,-0.687134,-1.44024,-1.02727,-0.418038,-0.0594348,-0.849841,-0.505819,0.165275,20,-37.9077,-38.4384,-40.2991,-35.8995,-35.0693,-39.8759,-35.0875,-37.3769,-34.718,-37.0156,-36.8328,-37.2443,-36.9051,-35.6565,-45.6447,-43.3174,-40.9395,-41.2095,-45.7978,-38.9873,-36.6121,-36.283
-854.148,1,0.13916,5,31,0,863.151,2.73381,-0.293208,0.632213,0.606279,1.52543,-0.248658,1.65751,0.0940578,0.12672,-0.289791,-0.0206685,-1.05672,-0.349937,-0.196992,-0.377841,0.359773,-0.330638,0.179374,0.427754,-0.556809,0.249625,-0.0874282,0.688336,0.0418695,-0.550151,-1.21494,-0.969992,-0.535569,-0.0532814,-0.692467,-0.51838,0.0786532,20,-38.0319,-38.5052,-40.6592,-35.8414,-35.0586,-38.0378,-34.6703,-37.8941,-34.8436,-37.2323,-36.8938,-37.4756,-37.923,-36.7189,-45.7169,-39.6079,-41.1262,-42.6758,-42.9628,-39.2903,-36.8986,-36.6243
-854.001,0.879678,0.13916,5,31,0,869.92,2.28832,-0.48509,-0.0260683,-0.0376187,0.644153,-1.06179,0.735282,-0.474587,-0.554421,0.57572,-0.694298,0.13055,0.106508,-1.11454,-0.0178916,-0.432711,0.447276,-0.45096,-0.290552,0.154703,-0.472896,0.363797,1.51165,0.928364,0.356605,-0.0409912,-0.232787,0.290992,-0.894958,0.262433,-0.84037,-0.14916,20,-38.8702,-38.2191,-40.2881,-34.5038,-35.9189,-38.6961,-35.2687,-38.264,-34.2773,-36.2951,-35.8611,-37.8172,-37.915,-36.0321,-44.8312,-40.6171,-42.5571,-42.687,-44.6508,-38.4334,-37.8653,-35.7195
-855.635,0.665826,0.13916,6,63,0,870.713,3.63224,-0.254403,-0.331788,0.578516,0.0508788,-1.35138,-0.452227,0.138937,0.899238,-0.396794,0.106304,-1.41278,-0.713219,-0.196133,-0.236756,0.344258,-0.17879,0.244476,0.133841,-0.329692,0.518798,0.341465,0.500301,0.682279,-0.50561,0.520804,-0.741396,-0.832141,-0.191478,-0.957446,-0.213778,0.0975674,20,-39.0453,-38.6221,-38.5673,-37.877,-35.797,-36.6246,-35.0311,-36.464,-36.6672,-37.3985,-38.1329,-39.094,-35.7371,-36.6193,-44.7937,-38.668,-42.4122,-42.578,-41.093,-38.2808,-38.8771,-37.8758
