lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.352146
# Diagonal elements of inverse mass matrix:
# 0.127519, 0.132924, 0.1179, 0.11285, 0.115762, 0.0964527, 0.104691, 0.110728, 0.108001, 0.101951, 0.111897, 0.10554, 0.109836, 0.103296, 0.111244, 0.102935, 0.107043, 0.11209, 0.113084, 0.113257, 0.400386, 3.41464
-866.215,0.919796,0.352146,3,7,0,872.089,2.1327,1.60183,1.17225,1.37976,0.647996,0.814281,0.554353,1.76294,-0.279136,-0.0200543,0.25466,-0.261302,0.227714,-0.56953,0.132237,-0.715707,0.407429,-0.280882,0.495055,-0.8092,-0.830201,-1.31174,20,-36.4578,-37.9167,-36.631,-34.8195,-43.2972,-48.5133,-36.3592,-36.3508,-35.796,-45.0091,-44.6299,-42.4979,-33.8006,-48.8607,-34.3114,-35.5561,-39.0785,-36.5586,-37.119,-41.6089,-36.0998,-35.1085
-863.785,0.860731,0.352146,3,7,0,881.544,1.79511,1.33214,0.958704,1.07509,0.437377,1.15985,0.872889,1.22708,-0.485518,0.055147,0.0292891,-0.0289925,0.263039,-0.207056,-0.0288068,-0.823905,0.666939,-0.919157,0.275897,-0.91961,0.154948,-2.24816,20,-36.4833,-36.7182,-35.4962,-34.0357,-44.983,-47.0156,-36.4417,-39.1689,-36.3751,-43.3202,-45.2294,-41.2401,-33.7056,-46.4614,-35.0981,-34.8816,-40.146,-35.9194,-38.9582,-41.1187,-35.7559,-35.5794
-871.409,0.73139,0.352146,3,7,0,880.084,1.63034,1.8169,0.497988,0.688601,0.939914,1.10635,0.163206,1.24923,-0.15602,-0.102505,-0.304632,0.629246,0.519839,0.0639003,-0.00557756,-0.532631,0.0654751,-0.374858,0.299054,-0.832872,0.319636,-3.11344,20,-36.2955,-37.4418,-35.144,-35.9981,-42.7712,-48.6918,-37.3983,-37.3575,-38.0584,-48.0269,-44.4519,-41.3175,-35.2039,-47.3936,-37.3581,-35.2472,-38.4073,-36.1095,-36.4464,-38.6426,-37.9239,-36.253
-866.21,1,0.352146,3,7,0,879.23,1.75828,1.7151,0.606206,1.17712,0.960735,0.792227,0.449365,1.32011,-0.204807,-0.320021,-0.102659,0.370605,0.369523,-0.0167038,0.364615,-0.0922363,-0.0199612,-0.383688,0.254401,-0.874438,0.197931,-2.17798,20,-35.7109,-37.3983,-35.6123,-35.7891,-41.2419,-47.4023,-36.621,-36.4873,-37.4326,-47.2339,-44.6459,-41.3943,-35.4612,-46.6993,-36.8605,-36.4965,-37.5648,-36.5459,-36.9322,-38.9799,-39.076,-35.9996
-866.512,0.957622,0.352146,3,7,0,877.317,2.43763,0.962309,0.63075,0.889197,0.416498,0.726456,1.06364,1.38235,0.235135,0.377484,0.0128994,0.00306674,0.24876,-0.410713,0.251401,-0.932997,0.598696,-0.229541,0.551826,-0.924627,0.203087,-0.987189,20,-37.2104,-36.4821,-36.33,-36.8398,-42.7028,-48.2638,-35.5407,-38.6624,-37.1126,-40.6356,-43.0058,-41.2572,-35.4019,-49.7624,-34.9272,-36.8169,-39.9503,-37.6124,-40.62,-38.8944,-35.0659,-35.5402
-869.93,0.861316,0.352146,3,7,0,876.79,1.90001,2.20226,0.725853,1.54781,1.24799,0.966422,0.43661,1.32477,-0.657634,-0.0206573,-0.0542148,0.414509,0.352329,0.164141,0.0645484,-0.300449,0.296458,-0.480675,0.345734,-0.6869,0.145794,-3.47261,20,-35.4706,-36.8115,-34.7182,-33.9454,-41.2649,-49.9834,-35.8865,-36.7771,-35.9568,-50.5792,-46.036,-43.1435,-34.319,-48.4877,-35.7809,-34.9891,-37.9478,-34.8409,-36.7565,-38.9806,-39.1359,-36.3336
-872.268,0.968386,0.352146,3,7,0,880.277,2.53546,0.981921,0.890343,1.12318,0.651787,0.85569,1.33259,1.68581,0.411327,0.586629,0.279884,0.239397,0.512052,-0.267175,0.501392,-0.670702,0.871521,0.00974534,0.796192,-0.777572,-0.163226,0.407258,20,-37.6316,-36.8205,-36.7661,-37.0019,-42.3777,-47.3442,-35.65,-39.1487,-37.448,-39.9074,-42.9874,-41.5481,-35.3319,-48.9596,-35.0562,-36.9787,-40.5527,-37.748,-41.0406,-39.3595,-35.2952,-37.9324
-867.044,1,0.352146,3,7,0,881.365,2.42044,1.82046,0.766673,1.12749,0.669765,1.02867,0.800941,1.54644,-0.528023,0.258266,-0.147373,0.605861,0.423951,0.284726,0.304426,-0.321988,0.730057,-0.433656,0.653314,-1.10807,1.18807,-3.6984,20,-36.6972,-36.6599,-34.5989,-34.327,-42.4016,-49.9301,-35.4119,-39.0559,-36.692,-45.9198,-43.8973,-40.2872,-34.2352,-49.2645,-35.2432,-35.6123,-39.9656,-34.7594,-38.0775,-38.8607,-36.7899,-34.8276
-871.555,0.865863,0.352146,3,7,0,879.064,2.76522,1.89711,0.581564,1.32871,1.0717,0.711287,0.803264,1.36005,-0.402638,-0.106935,-0.0786603,0.812129,0.465945,0.385092,0.116683,-0.290159,0.479905,-0.1708,0.669734,-0.884121,1.35821,-3.3468,20,-36.2869,-37.1379,-34.5589,-34.8683,-41.0971,-51.4815,-35.16,-38.3201,-36.8402,-46.7445,-42.9212,-40.9367,-35.546,-51.2873,-35.3344,-36.1462,-38.9722,-35.0366,-37.3108,-38.2567,-37.8284,-36.132
-871.089,0.956797,0.352146,3,7,0,879.946,1.71442,1.43401,0.930963,1.25586,0.849189,1.08604,0.996672,1.57528,0.0789876,0.685187,0.186006,-0.30883,0.355508,-0.466766,0.428685,-0.831301,0.607113,-0.382166,0.473612,-0.715043,-1.18965,0.436044,20,-36.6576,-36.459,-36.5492,-35.5876,-42.8114,-46.2442,-36.1069,-37.4647,-36.7573,-43.7509,-45.9813,-43.5877,-35.0287,-46.2796,-34.9664,-35.777,-39.3845,-36.9941,-40.6345,-39.6536,-36.3062,-38.6537
