lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.4247
# Diagonal elements of inverse mass matrix:
# 0.271971, 0.119723, 0.111634, 0.105034, 0.108072, 0.100932, 0.104277, 0.10793, 0.123713, 0.0963413, 0.108667, 0.111614, 0.100527, 0.161076, 0.114591, 0.108835, 0.104433, 0.101394, 0.0990159, 0.113299, 0.19467, 0.219172
-852.376,1,0.4247,3,7,0,860.832,5.02546,0.66837,0.981744,0.343375,0.668935,-0.0683486,0.148961,-0.502313,0.0771471,0.200324,-0.300779,-0.50974,-0.368273,-0.685207,-0.653935,-0.339602,0.273343,-0.28619,-0.0628653,-0.0365483,0.216652,0.275048,20,-37.6288,-40.2062,-38.6308,-36.6701,-36.4195,-38.0061,-36.4734,-36.1432,-35.021,-36.5814,-37.1531,-38.285,-36.0166,-36.3023,-47.4488,-39.1562,-41.7481,-41.7646,-42.4057,-37.8981,-38.1493,-37.2483
-850.442,0.808191,0.4247,3,15,0,863.692,4.75737,1.26793,1.08001,0.489072,1.17945,0.140251,0.790065,-0.109509,0.395783,0.0248631,-0.00976577,-0.696666,-0.567482,-0.472895,0.0163837,-0.200836,0.818693,0.179969,0.196988,0.0263911,0.0917444,0.41434,20,-38.0133,-38.997,-38.2779,-36.3074,-35.4743,-38.0137,-35.3491,-36.9664,-35.533,-36.6664,-36.7479,-36.6309,-35.8222,-36.5433,-46.1021,-40.3206,-42.2088,-42.1802,-43.4022,-37.0383,-39.5575,-35.8248
-851.083,0.762147,0.4247,3,7,0,859.081,4.37371,1.09409,1.12163,0.935845,1.33432,0.16914,0.808711,-0.530519,0.300595,0.16556,-0.0866917,-0.298281,-0.440758,-0.743061,-0.382826,0.0801941,0.307554,0.0235894,0.636986,0.187371,-0.156134,0.225492,20,-38.4413,-37.8318,-40.5988,-34.9053,-35.3684,-37.7511,-34.4745,-36.9634,-34.2728,-36.3349,-36.6594,-38.4305,-37.9584,-35.5441,-44.2519,-38.8225,-44.184,-44.183,-42.4485,-39.4388,-36.5134,-37.2074
-854.279,0.730627,0.4247,3,7,0,861.804,4.36716,1.14132,1.11244,0.700865,1.65272,0.216804,0.212853,-0.215531,0.317458,0.00743685,0.233775,-0.493688,-0.257182,-0.0664829,-0.481127,-0.108786,0.834791,0.0841253,0.380175,0.194075,0.207424,0.567009,20,-38.5337,-38.9501,-37.4208,-36.28,-36.5343,-37.9258,-35.6064,-35.3255,-35.5219,-36.7414,-36.5556,-37.4836,-35.9059,-37.0996,-43.9167,-39.3666,-45.2267,-45.0248,-42.5493,-37.3608,-39.4528,-37.1686
-851.969,0.721472,0.4247,3,7,0,866.14,4.97351,1.31572,1.19291,0.877458,1.09192,0.137221,0.994592,-0.0108497,0.643571,0.38881,-0.0885142,-0.493756,-0.120442,-0.568222,0.0194061,0.19943,0.607629,0.0857427,0.613922,0.491656,0.774054,0.773005,20,-38.6383,-38.4447,-40.1484,-36.064,-35.3963,-37.55,-35.1377,-37.0232,-35.02,-36.3868,-36.9873,-38.8282,-36.8422,-35.2537,-44.8344,-39.5195,-41.9328,-42.0638,-42.2802,-39.0843,-37.6709,-36.9023
-851.574,0.804912,0.4247,3,7,0,861.546,4.35571,0.957386,1.37875,0.818992,1.4941,-0.0635053,0.572376,-0.0294246,0.299984,0.0667897,0.0419243,-0.563713,-0.431714,-0.233721,-0.241734,-0.265802,0.635349,-0.256381,0.141199,-0.127865,-0.310902,-0.0415921,20,-36.5889,-38.1332,-37.9736,-36.289,-35.3667,-36.758,-35.7257,-36.1898,-35.4994,-35.8566,-36.5956,-37.7443,-35.6981,-36.2012,-44.8485,-39.6123,-45.1606,-44.6191,-43.435,-37.3667,-39.5665,-38.2301
-858.386,0.822561,0.4247,3,7,0,863.886,3.28897,1.28189,1.22373,0.438097,1.32544,-0.0992694,0.260801,-0.245195,0.209237,0.354903,0.0461358,-0.575468,-0.583896,-0.352802,-0.53178,-0.176633,0.752375,-0.319824,0.128016,-0.22862,-0.20769,-0.300199,20,-37.5683,-39.0948,-38.5525,-35.8276,-36.5317,-38.7738,-36.8165,-36.1598,-35.1536,-36.0117,-36.7269,-36.779,-35.9837,-36.5695,-42.5035,-42.0824,-44.3782,-44.2599,-45.4609,-38.1698,-40.5111,-37.2299
-860.59,0.912387,0.4247,3,7,0,873.437,5.00389,1.41827,1.1367,0.196258,0.772534,0.329469,-0.0169516,-0.14494,0.281572,-0.209272,-0.395959,-0.575855,-0.642451,-1.32471,-0.137586,-0.209911,0.328338,0.164023,-0.252195,-0.173781,-0.168208,0.42536,20,-37.1268,-40.4239,-36.1795,-36.3947,-35.5335,-41.2786,-36.0407,-35.2768,-35.7011,-38.418,-38.107,-36.5085,-34.687,-37.2786,-48.7975,-43.3779,-41.8692,-41.6609,-47.0459,-35.335,-38.1934,-36.7698
-858.036,1,0.4247,3,7,0,870.374,3.50222,0.245875,0.687584,0.839651,1.10989,-0.617537,0.774715,-0.691579,-0.21664,-0.132179,-0.226648,-0.923898,-0.578725,-0.71726,-0.704888,-0.425505,0.239796,-0.652594,0.204155,-0.0531865,-0.769962,-0.0273125,20,-39.1386,-37.4551,-41.9028,-35.4873,-36.1174,-35.7687,-35.3233,-38.6986,-35.7527,-35.5347,-35.8757,-40.5398,-38.6898,-35.6216,-42.2007,-36.6994,-45.8255,-44.707,-40.0193,-40.754,-38.9371,-39.1668
-856.461,1,0.4247,3,7,0,866.308,4.85944,1.31016,1.04466,0.210034,0.777787,0.208116,0.0425564,-0.0671873,0.417238,-0.0578503,-0.360589,-0.513671,-0.628133,-0.506243,-0.172141,-0.156719,0.396139,0.212714,0.104639,-0.120627,0.621681,-0.083473,20,-37.5633,-39.6146,-37.2703,-37.4071,-35.6576,-39.4297,-35.9481,-35.3084,-35.266,-38.1323,-38.4334,-37.0955,-35.326,-37.0112,-47.5249,-42.3714,-40.8895,-42.071,-44.9451,-36.8435,-38.3778,-36.4427
