# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-12-05 05:44:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /tmp/tmpeejy2vd4/2m7gap4x.json
# init = 2 (Default)
# random
#   seed = 78697
# output
#   file = /home/john/python_test/project/year2021_model_sample/model-20231204214437_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.139911
# Diagonal elements of inverse mass matrix:
# 0.499079, 0.514616, 0.467833, 0.405182, 0.519256, 0.434421, 0.398765, 0.435881, 0.432597, 0.402953, 0.296096, 0.29013, 0.433822, 0.421137, 0.37032, 0.463492, 0.44556, 0.446603, 0.413452, 0.487593, 0.527208, 2.01833, 0.620909, 0.512436, 0.460608, 0.527092, 0.52303, 0.396256, 0.359292, 0.432351, 0.445573, 0.560531
-865.797,0.741513,0.139911,6,63,0,879.113,0.680014,0.58021,-0.867799,0.71341,-0.574937,-0.814249,0.086248,0.210688,-0.960007,-0.965295,-0.14315,0.0962325,-0.929122,0.104902,-1.46344,-0.347467,-0.207814,0.0334936,-1.20992,-0.551261,-0.175605,0.149177,0.844657,0.485284,0.0162888,1.00911,-0.000797873,1.13328,-0.454971,0.928965,-1.15338,-1.08547,20,-36.0687,-35.0883,-36.2563,-34.5707,-40.6224,-50.474,-35.9626,-37.105,-38.0913,-45.5189,-45.2304,-43.5873,-33.7727,-48.3331,-34.4019,-35.277,-39.7956,-35.5572,-40.5532,-37.9034,-35.5058,-36.4883
-872.422,0.964488,0.139911,6,63,0,888.409,2.13874,0.88017,0.581676,0.548096,0.59979,-1.65254,0.544628,-1.13489,0.24835,0.21238,0.219203,0.580581,0.930168,-1.23922,0.509796,0.419829,0.699197,-2.00813,1.54189,-0.292149,-1.00979,-0.270741,0.0692891,0.19952,0.637419,2.38553,-0.267645,-0.0618083,-0.277701,-0.690293,1.10316,-0.869996,20,-37.3955,-35.9969,-35.0673,-36.804,-42.3022,-46.5273,-34.6256,-38.1666,-36.9073,-42.1933,-44.4659,-41.8223,-35.1894,-48.2179,-34.7256,-37.2983,-39.7965,-36.7946,-40.6012,-38.633,-37.7204,-36.3018
-877.022,0.682875,0.139911,6,63,0,901.06,2.6693,-0.174032,1.59822,0.70362,-1.1433,1.04796,-0.304042,1.48732,-1.28152,0.433263,-1.72175,-1.16885,-0.931228,-0.696793,-0.00888724,0.719682,-0.236375,-0.500183,-1.12655,0.972917,-1.04306,-1.97367,-1.18324,1.19849,-0.0833248,-1.12056,0.188857,-0.946963,0.488421,0.55939,-0.540286,-2.23443,20,-36.2739,-37.9643,-33.6097,-34.3007,-43.0777,-50.5269,-35.2254,-37.9519,-36.2144,-46.4763,-44.8336,-42.6318,-33.9756,-49.7783,-35.3805,-34.5751,-39.9162,-36.7554,-37.2846,-41.488,-35.5217,-33.4806
-873.402,0.964369,0.139911,5,31,0,893.113,0.781972,0.873014,-0.105886,1.11398,-0.103705,0.158073,0.0482493,0.604827,-1.33862,-0.0954791,-0.742686,-0.10378,-1.08468,0.263745,-0.859776,-0.0766867,-0.610406,0.407185,-1.1439,0.139502,-1.56898,-3.48298,0.509453,-0.112153,0.0186924,0.194,0.22208,0.0952103,0.117288,0.950679,-1.14716,-1.64358,20,-36.1808,-37.9344,-35.9689,-35.0128,-43.2312,-48.3635,-36.5641,-37.2468,-37.1988,-42.6625,-45.9145,-43.901,-34.6911,-45.7433,-35.6236,-34.7568,-39.5544,-36.7915,-40.7542,-41.6908,-35.0778,-36.0223
-869.056,0.977473,0.139911,4,15,0,883.668,0.82265,1.13732,-0.153214,0.8559,0.260581,-0.133499,0.111546,0.794534,-0.958639,-0.17702,-0.904655,-0.339808,-1.04106,0.313892,-0.87248,0.108041,-0.598975,0.197036,-0.702384,-0.0637979,-1.1288,-3.16621,0.230574,0.177704,-0.190005,-0.017953,0.445986,-0.149354,-0.339109,0.708362,-1.27792,-1.5141,20,-36.9573,-36.3756,-33.8848,-36.8002,-40.5039,-49.4495,-34.2902,-37.1997,-35.5,-48.828,-44.4027,-43.8822,-34.6995,-49.3615,-35.0089,-34.744,-39.8876,-37.4199,-38.7528,-38.8196,-37.5113,-33.6833
-871.43,0.944089,0.139911,6,63,0,882.855,1.2213,0.346478,-0.180047,0.283128,-0.717162,-0.470233,-0.780543,0.570775,0.359949,0.542621,0.146784,-0.12192,0.786978,0.317517,0.0789669,0.194358,0.822636,0.255718,1.02655,0.0183506,0.443945,-3.35456,0.888978,0.79853,0.834378,0.770908,-0.760919,-0.16068,-0.472246,-0.952908,-0.655646,-0.810039,20,-36.4989,-37.8249,-36.6769,-35.7707,-42.0125,-49.3772,-36.4116,-36.6827,-36.2632,-43.128,-44.1227,-42.8872,-35.6579,-48.8062,-35.2304,-36.7765,-38.6871,-37.7984,-39.1767,-40.4315,-37,-33.8134
-863.428,0.985303,0.139911,5,31,0,886.316,2.095,0.0337721,0.419849,0.184461,-0.406239,0.53808,0.20572,0.687619,-0.145513,0.103705,0.0457093,0.652951,1.20116,0.121015,0.225694,-0.0787986,0.815819,-0.369197,1.46062,-0.357073,1.13324,-1.69419,-0.199528,0.793842,0.472463,0.0838313,-0.324246,-0.437656,-0.648927,-1.26921,-0.613246,-0.730816,20,-37.4713,-35.7413,-34.4958,-35.7651,-42.9118,-46.8246,-35.8214,-39.967,-36.7527,-42.2221,-43.3669,-40.5001,-35.2658,-48.1615,-35.9306,-36.3723,-40.5176,-36.0759,-39.1636,-38.4945,-36.5694,-35.2263
-865.381,0.884612,0.139911,5,31,0,876.599,2.12521,0.346794,0.684979,0.412412,-0.785053,0.172694,-0.203863,0.963775,-0.630208,0.442091,0.404477,0.358002,0.689528,0.145645,0.119114,-0.638637,0.263822,-0.103978,1.28341,-1.00404,1.61834,-1.1975,-0.167897,1.28654,0.45014,0.149927,-0.411078,-0.533794,-0.860185,-1.17373,-0.674615,-0.747527,20,-35.3543,-37.3466,-35.0392,-33.388,-42.5587,-51.9959,-33.97,-36.1036,-34.1806,-49.2806,-45.8616,-43.3596,-33.9158,-51.1099,-33.054,-34.4133,-37.938,-34.7948,-38.3432,-40.001,-36.7264,-35.5321
-864.493,0.804505,0.139911,5,31,0,883.973,0.114401,1.31986,-0.992844,0.464468,0.615511,-0.127131,0.0673921,0.711243,0.0738392,0.635031,-0.891211,0.260119,-0.442914,0.168759,0.729725,0.266073,0.724141,-0.095784,-0.659999,-0.0223113,-0.778779,-0.792282,1.75847,-0.197827,0.488834,0.552358,-0.543501,-0.897106,0.0292837,0.548012,-0.207094,-1.10995,20,-35.9289,-39.1049,-34.6123,-35.1533,-42.5186,-48.0195,-35.8042,-38.7895,-36.5459,-43.3354,-43.4512,-40.6145,-34.9737,-47.213,-35.8702,-35.708,-38.7931,-37.3832,-38.6112,-41.7115,-36.692,-35.4665
-866.487,0.993569,0.139911,6,63,0,876.565,1.59101,-0.436431,-0.208875,1.38014,-1.1204,-0.328073,0.742528,0.172529,-1.10323,-0.323608,0.634563,0.466833,0.00185022,-1.03591,-0.501086,-0.260706,-0.548231,-1.23152,0.573403,-0.424606,1.62442,-1.36152,0.0646973,1.24215,-0.618432,0.561051,-0.0634958,0.110875,-0.986053,-0.486852,0.297574,-1.39245,20,-36.5299,-36.4316,-36.6863,-34.8804,-41.9594,-48.9575,-35.353,-36.1584,-36.3827,-44.2766,-45.3164,-43.3722,-35.2837,-48.0879,-33.8838,-35.9986,-38.5455,-34.8177,-39.6925,-38.1079,-37.0081,-36.702
-864.88,0.965849,0.139911,6,63,0,879.199,-0.100568,1.30825,-1.53998,-0.609231,0.787782,0.0418795,-1.05506,0.60377,-0.569848,-0.822152,-0.965933,-0.234866,0.0843202,0.168394,-0.790656,0.149936,-0.0137467,0.392904,0.0196186,-0.0257757,-1.07083,-1.46585,1.80701,-0.269768,1.58037,0.426748,-0.315851,0.623012,0.230471,-0.119929,-0.739892,-1.54768,20,-35.641,-37.8413,-34.9705,-34.2998,-42.1397,-48.481,-35.5694,-37.0654,-36.9265,-44.5144,-45.4609,-42.6036,-34.0157,-46.8089,-35.493,-35.5455,-37.9687,-35.7615,-39.8562,-39.7645,-36.5878,-35.8703
-871.058,0.715777,0.139911,5,63,0,889.173,-0.220985,0.923302,-2.08911,1.33754,-0.208873,-0.731202,0.290632,-0.126151,-0.598143,0.708849,-0.715536,-0.49421,-0.574557,-0.317226,0.886303,0.359749,0.578317,-0.493356,-0.511083,0.195962,0.364956,0.23389,2.03799,0.439872,-0.853821,0.908467,-0.567129,-0.991059,0.206837,0.415272,-0.880774,-1.64866,20,-37.0811,-35.1187,-35.2876,-34.4616,-40.8904,-51.9104,-35.4844,-37.4162,-38.0273,-49.0749,-45.5873,-42.5249,-34.4179,-51.7987,-34.6531,-35.8611,-40.183,-33.5659,-36.4702,-37.0566,-36.5036,-36.0377
-871.265,0.554502,0.139911,5,31,0,900.698,0.667001,0.707084,-0.783526,1.56177,0.226148,-1.02341,1.26739,-0.477819,-0.513593,-0.375974,-1.30733,-1.26472,-0.902147,0.0594379,-0.272726,0.381539,0.566986,-0.0924538,-0.752931,1.02825,-1.80673,-1.68801,0.882013,0.154396,-0.676103,1.40515,-0.444152,-0.386664,0.578394,0.49958,-0.919766,-2.42977,20,-36.7418,-36.2677,-35.1358,-34.2416,-43.1077,-47.9558,-35.5321,-39.4253,-35.347,-44.5578,-45.2916,-42.7378,-34.2155,-48.7004,-33.9701,-35.3878,-39.9324,-35.597,-39.9481,-39.906,-36.1609,-35.6694
-871.292,0.986192,0.139911,5,63,0,888.59,1.64717,0.515313,-0.353232,1.1841,-0.670788,0.0219243,0.361363,0.645726,-0.129762,1.26471,-0.935669,0.00404564,0.298089,0.383125,1.65361,0.182345,0.997643,0.551263,0.374828,0.196499,0.548711,0.452753,0.608305,1.07714,-0.345673,0.478164,-0.692402,-1.31639,0.403791,-0.110879,-1.1277,-1.11887,20,-37.5472,-36.1526,-34.5749,-34.9999,-40.863,-51.361,-35.9648,-37.9751,-38.3283,-47.6402,-44.8514,-40.9396,-34.9985,-51.1054,-35.5613,-36.8612,-39.8776,-34.0205,-36.9787,-37.6071,-35.8635,-36.394
