# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-12-05 05:44:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpeejy2vd4/2m7gap4x.json
# init = 2 (Default)
# random
#   seed = 78697
# output
#   file = /home/john/python_test/project/year2021_model_sample/model-20231204214437_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = --filename-in-msg=model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,t_c.1,t_c.2,t_c.3,t_c.4,t_c.5,t_c.6,t_c.7,t_c.8,t_c.9,t_c.10,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.133468
# Diagonal elements of inverse mass matrix:
# 0.560667, 0.504583, 0.564308, 0.355036, 0.499147, 0.48758, 0.366528, 0.507093, 0.422663, 0.33467, 0.425686, 0.401906, 0.368838, 0.430535, 0.336808, 0.441977, 0.409206, 0.410508, 0.362705, 0.433859, 0.613742, 1.32738, 0.531246, 0.555687, 0.462277, 0.463197, 0.508375, 0.436874, 0.403544, 0.3752, 0.50059, 0.532238
-866.253,0.638273,0.133468,6,63,0,879.942,1.06561,0.507636,-0.0165525,-0.100061,-0.515517,-0.0566395,-0.355288,0.353867,0.202462,0.421318,-0.551427,-0.143566,0.159287,0.609276,0.258146,-0.902477,1.05345,0.616044,0.619364,-0.794937,0.157698,-3.95898,1.47977,1.33835,1.38916,1.46125,-0.0547848,0.0483872,0.872545,0.0427214,-0.533791,0.342036,20,-36.2868,-38.1397,-35.6606,-34.8519,-44.6816,-47.8465,-36.3695,-38.3149,-34.7103,-43.884,-44.2667,-41.0386,-34.4506,-48.7789,-35.2554,-34.8442,-38.8137,-36.4036,-37.9455,-41.7908,-34.8539,-34.8118
-866.852,0.956035,0.133468,5,63,0,888.1,0.821245,0.657697,-0.26775,-0.120387,-0.358509,-0.0431393,-0.629193,0.263461,0.201034,0.4171,-0.748087,-0.177114,0.105465,0.708728,0.158137,-0.801446,1.04113,0.614472,0.592202,-0.813116,0.149001,-4.02838,1.58514,1.29055,1.31638,1.44956,-0.113481,0.0232481,0.827329,0.0698014,-0.516592,0.451287,20,-36.5839,-38.0214,-35.1925,-35.091,-44.2458,-47.9013,-36.7301,-38.1043,-34.7812,-45.1376,-44.0967,-41.0578,-34.6219,-48.5374,-36.054,-34.9366,-38.7497,-36.2514,-36.9549,-40.9798,-35.9405,-34.5448
-869.823,0.906065,0.133468,6,63,0,883.847,0.66638,0.323142,-0.109141,-0.0470456,-0.481542,-0.47804,-0.381685,0.0239374,0.256472,0.440608,-0.381228,-0.314836,-0.201998,0.80278,0.332828,-0.454863,0.934953,0.820918,0.169918,-0.917656,0.388293,-4.50333,1.3587,1.7477,2.02507,1.62605,-0.425774,0.41705,0.673587,0.793095,-0.802332,0.216443,20,-36.0588,-36.9049,-35.1687,-34.4907,-41.9297,-47.499,-34.6133,-36.4803,-36.037,-46.178,-47.0527,-43.6927,-34.4479,-44.7609,-34.4854,-36.3507,-38.2264,-36.2759,-42.1168,-40.2347,-37.3639,-35.469
-868.579,0.900187,0.133468,6,63,0,886.661,0.761089,1.85764,-0.762591,0.270323,0.488717,0.0303127,-0.0459685,0.442143,-0.557224,0.086015,0.614917,0.97453,0.0140887,-1.60174,0.179111,0.785127,0.403488,-1.70954,-0.0103995,0.293879,-0.570935,-3.47496,0.591502,-1.14653,-0.223054,0.0354436,-0.686984,-0.649668,-1.57862,-0.375934,0.504612,-2.28412,20,-36.911,-36.5377,-35.2562,-34.8012,-42.5476,-49.6657,-35.7896,-38.4416,-38.0465,-44.8499,-44.0496,-39.9415,-33.5693,-49.9956,-35.4398,-35.855,-40.2712,-35.3404,-38.2415,-38.7458,-35.1781,-33.9408
-871.686,0.647531,0.133468,5,31,0,887.786,0.453482,1.08475,-0.652797,0.471241,0.884595,-0.146547,-0.356551,0.673668,-0.454862,0.288571,0.370467,0.481302,0.108072,-1.56366,0.0555639,0.577276,0.634639,-2.14496,0.468604,0.809235,0.118929,-2.5446,0.702753,-0.191327,0.0420294,-0.0674491,-0.726657,-0.82344,-1.01891,-0.672213,0.254018,-2.32184,20,-37.1678,-36.1835,-35.2876,-35.0123,-40.6934,-47.9771,-34.6136,-37.7413,-35.9864,-47.8459,-46.1726,-46.0834,-33.7231,-48.481,-33.8484,-34.636,-40.2542,-34.6894,-37.6242,-39.0945,-38.7285,-36.9614
-865.598,0.995424,0.133468,5,63,0,882.584,1.06899,0.399943,-0.405189,0.651128,-0.151913,0.62932,-0.345506,1.4641,-0.303974,0.670076,-0.362464,-0.139871,-0.285001,-0.895544,0.0748154,-0.192076,0.190061,-1.58423,-0.0758716,-0.533788,0.105312,-1.40219,0.387958,0.0412265,0.436121,-0.580847,-0.756961,-0.836866,-0.533693,-0.284361,0.451712,-1.34745,20,-35.47,-37.1075,-36.0018,-35.1674,-41.9863,-48.3173,-35.2863,-37.4874,-35.5253,-41.7073,-45.6902,-44.2995,-35.4279,-46.3328,-34.3837,-35.517,-38.7006,-37.2931,-41.1773,-40.1546,-37.966,-36.1072
-873.905,0.983683,0.133468,5,31,0,885.49,0.667611,-0.270409,-0.655942,1.84445,-1.00174,1.71602,0.554512,2.7179,-0.68006,0.737896,0.727288,1.17378,-0.439368,0.00672758,0.250654,0.58728,-0.117773,-0.806959,-0.205122,0.274929,0.426602,-2.59051,1.56097,1.71472,-0.130355,-1.09539,0.586855,-0.12725,-0.931787,0.756522,0.46471,-1.14319,20,-36.3235,-37.7076,-35.5012,-35.915,-40.9872,-48.4433,-34.9249,-37.9342,-35.8669,-43.1016,-44.4511,-43.3046,-35.4419,-47.5783,-34.5888,-35.5832,-39.5498,-37.4103,-39.1228,-40.1069,-38.1046,-35.0045
-872.879,0.98342,0.133468,6,63,0,888.482,1.18435,1.06108,-0.040219,-0.922545,0.312672,-2.45637,-0.55042,-1.18973,0.293254,-0.555712,-0.985387,-0.772701,0.371451,-0.248471,0.0256801,-0.30348,0.974973,-0.66984,0.371203,-0.652172,-0.309322,-3.69119,-0.368646,-0.803784,0.672847,1.84572,-1.59613,-0.585767,-0.161078,-0.906949,-0.912458,-1.30477,20,-37.6738,-36.931,-36.3219,-35.8172,-40.5781,-47.1367,-35.8151,-38.98,-38.2025,-43.9938,-43.0255,-40.0552,-35.2919,-46.1731,-34.4907,-37.6752,-40.0925,-36.4742,-40.1219,-39.3188,-37.0331,-34.8837
-874.818,0.912973,0.133468,6,63,0,889.508,0.964463,-0.107949,-0.485841,1.11987,-0.434375,1.68828,1.30943,1.72647,-1.30303,0.0374429,0.947405,1.06558,-0.290414,0.259493,0.604991,0.214691,-0.346055,-0.079994,-0.405305,-0.0357733,1.00881,1.00668,1.90359,2.10099,0.247644,0.193979,1.21961,0.587317,0.0243406,1.18668,0.0862252,-0.362794,20,-35.3399,-37.3261,-36.4992,-33.1489,-44.6223,-47.9196,-36.8434,-37.3263,-37.7327,-45.0125,-46.6989,-42.4038,-33.6159,-47.5456,-35.4563,-35.927,-37.5786,-33.9681,-38.5346,-39.7703,-37.3277,-39.9577
-876.46,0.966174,0.133468,5,31,0,890.51,0.579721,-0.148325,-0.610683,2.1507,-1.09096,1.9653,1.06658,2.52694,-1.00667,1.11762,0.35457,0.367929,-0.925911,-0.455898,0.486369,-0.298589,-0.31547,-0.772869,-0.321297,0.0389342,0.488139,-2.00031,2.01169,2.72396,-0.246379,-0.850762,0.908313,-0.110632,0.161981,1.32516,0.747585,-0.209198,20,-35.7489,-37.2335,-35.2052,-34.2375,-41.52,-51.0635,-34.5529,-35.0937,-34.5386,-50.0802,-46.6568,-45.092,-33.9719,-49.8118,-33.514,-34.7384,-37.5067,-35.1492,-38.3488,-39.7105,-37.7403,-36.2569
-870.463,0.890628,0.133468,5,31,0,897.842,0.0244219,1.62434,-1.36156,-0.451874,1.05691,-1.01768,-0.213433,-1.12846,-0.612662,-0.50262,0.184286,0.654995,0.437187,0.468735,-0.244336,0.175778,0.105807,0.24302,0.0841311,-0.537826,-0.342694,-2.81362,1.37076,-0.603938,0.794166,1.37049,-0.272448,-0.280984,-0.73723,-0.393272,-1.17742,-1.05907,20,-35.664,-36.7965,-35.0119,-34.6387,-42.5369,-48.1365,-35.9519,-38.5977,-38.1376,-45.7659,-43.9344,-40.9053,-34.4678,-47.5068,-36.6085,-35.6668,-38.9885,-36.0179,-39.4174,-38.9487,-37.3522,-36.6978
-870.909,0.93512,0.133468,6,63,0,888.063,0.72903,1.11274,0.092884,0.550719,0.567788,0.431045,0.996226,0.787879,-1.36063,-0.0458432,0.0737044,0.257743,1.09411,0.088758,0.310557,1.66195,-0.583806,-0.0831149,0.812134,1.14216,1.0343,-0.712177,0.827289,0.263739,0.175039,0.756406,1.12544,0.235929,-0.179048,-0.293455,-0.168228,-1.90431,20,-37.3648,-37.5903,-35.6037,-35.0978,-43.4848,-46.0201,-37.1778,-38.7891,-38.9784,-43.6288,-44.6191,-40.4916,-35.0043,-43.7604,-36.6683,-36.8657,-40.0883,-36.6522,-39.6717,-39.9463,-37.2241,-35.127
-868.956,0.919911,0.133468,6,63,0,887.012,0.104419,-0.643737,-0.785432,0.289864,-0.805337,-1.22229,-0.116806,-0.4843,0.232005,0.136009,0.212517,0.325401,-0.257858,-0.0394744,0.0651968,-0.622383,0.610357,-0.102608,0.053912,-1.14053,-0.239254,-4.52471,1.10538,1.21728,0.0404986,1.40621,-1.07754,-0.13991,-0.943093,-0.346841,-1.07645,-0.643704,20,-35.8576,-37.8954,-35.9721,-35.2725,-42.5284,-46.4805,-35.4439,-35.8418,-36.5555,-44.2502,-46.9185,-44.8078,-34.2282,-45.8866,-35.1553,-35.8862,-37.7971,-36.5534,-39.7189,-40.1315,-38.1438,-35.3455
-867.839,0.931681,0.133468,6,63,0,884.534,2.45615,2.21448,0.478053,0.189845,1.07273,0.824274,-0.344376,1.7935,0.32719,-0.645987,-0.477492,0.00198865,0.368323,0.0291851,-0.566123,-0.193167,1.318,-0.163484,0.368246,-0.197641,-0.0294779,-4.71225,0.181674,-0.246025,0.946648,-0.0340889,-0.430237,0.535813,0.353056,0.205588,-0.423891,-0.418578,20,-37.3382,-34.8341,-34.5601,-35.2297,-41.4097,-52.0703,-35.8358,-38.8034,-37.0074,-47.5204,-42.5018,-40.8998,-33.7758,-52.9149,-34.647,-35.498,-40.8348,-35.0639,-36.2099,-37.7548,-35.5602,-33.3398
