lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,t_d.1,t_d.2,t_d.3,t_d.4,t_d.5,t_d.6,t_d.7,t_d.8,t_d.9,t_d.10,t_d.11,t_d.12,t_d.13,t_d.14,t_d.15,t_d.16,t_d.17,t_d.18,t_d.19,t_d.20,t_d.21,t_d.22,n,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22
# Adaptation terminated
# Step size = 0.446906
# Diagonal elements of inverse mass matrix:
# 0.223023, 0.101748, 0.0853999, 0.0951765, 0.100813, 0.101599, 0.092923, 0.100877, 0.0853782, 0.0879488, 0.0858903, 0.108033, 0.0980347, 0.144059, 0.10062, 0.102084, 0.0875372, 0.0939129, 0.1019, 0.0823188, 0.164441, 0.20334
-853.994,0.843766,0.446906,3,7,0,872.403,4.98023,0.588983,0.920306,0.727585,1.11653,-0.0874254,0.744869,-0.321872,0.114566,0.122092,-0.48835,-0.546633,-0.68618,-1.09826,-0.144142,-0.238163,0.422794,-0.431739,0.279523,-0.192684,-0.327243,-0.630705,20,-37.8369,-39.5735,-40.4107,-36.0042,-35.7117,-37.0219,-35.8607,-37.5983,-34.9034,-35.0868,-36.0117,-38.4044,-37.6344,-34.8736,-47.0022,-38.5209,-43.7607,-43.0487,-40.7942,-39.1225,-38.6024,-37.5966
-856.02,0.847515,0.446906,3,7,0,864.931,4.68014,1.19812,1.073,0.319296,0.911247,-0.131484,0.202851,-0.352934,-0.104728,-0.271759,-0.0154535,-0.85372,-0.454733,-0.178502,-0.767991,-0.242117,0.28169,0.0630678,0.0262711,0.0956252,0.286704,0.977378,20,-38.1644,-38.1226,-37.5608,-37.1152,-35.6558,-38.3117,-34.9054,-35.7723,-35.5418,-37.481,-36.6853,-37.5228,-36.3225,-37.4856,-46.6419,-41.2897,-43.4479,-43.3369,-44.9601,-37.22,-37.9402,-36.4848
-858.659,0.910424,0.446906,3,7,0,868.001,4.95292,1.19834,1.05849,0.404152,1.18123,-0.0657677,0.170006,-0.155711,-0.314414,-0.390243,-0.0496503,-0.683666,-0.666018,-0.414713,-0.572227,-0.16618,0.331867,0.0569352,-0.152042,0.0841168,0.477338,1.17187,20,-37.7343,-38.6955,-36.2355,-37.164,-35.989,-38.425,-35.1777,-35.5707,-35.7098,-36.6523,-36.0078,-37.9777,-36.499,-37.3136,-47.5158,-41.6952,-45.1204,-43.9372,-44.5836,-36.4679,-38.5774,-36.7893
-855.952,0.987871,0.446906,3,7,0,867.167,4.30329,0.725577,1.33898,0.951159,1.11343,-0.117013,0.787492,-0.312749,0.132583,0.391062,-0.30166,-0.877166,-0.5288,-0.68627,-0.00750162,-0.218852,0.668292,-0.246178,0.60322,0.186333,-0.401199,-0.575454,20,-39.3993,-38.9642,-41.1694,-35.2474,-35.745,-36.306,-35.6719,-36.4228,-35.2459,-35.1995,-35.6994,-39.5128,-37.155,-35.2827,-44.5121,-38.2233,-43.5806,-44.3434,-42.0514,-40.2054,-39.2978,-37.8345
-855.952,0.970006,0.446906,3,7,0,865.471,4.74911,1.17696,1.094,0.694134,1.1386,-0.300847,0.593987,-0.406459,0.200961,-0.081902,0.20659,-0.269744,-0.307702,-0.156392,-0.374868,-0.142248,0.417089,-0.0547305,0.211407,-0.465654,0.534136,1.02221,20,-36.301,-36.9196,-38.9195,-36.8823,-35.1345,-37.6074,-35.5504,-37.5805,-35.5689,-37.0742,-37.3956,-37.2666,-37.7523,-37.0247,-45.541,-40.211,-44.8312,-42.7866,-43.4939,-37.5972,-38.6705,-37.3693
-853.521,0.997307,0.446906,3,7,0,863.104,5.15006,0.828332,1.0149,0.590724,1.4903,0.295556,0.924652,-0.332014,0.433594,0.309379,-0.283214,-0.485761,-0.59458,-0.305037,-0.290161,-0.351649,0.69289,0.109577,0.21096,0.156863,-0.0985213,0.479681,20,-38.0498,-40.1991,-39.4205,-36.5809,-36.1992,-37.0912,-35.0872,-37.503,-34.6299,-36.1839,-36.7499,-37.4315,-36.5371,-35.7404,-47.3315,-38.2823,-43.9363,-43.8196,-40.9848,-38.2323,-38.4739,-36.2084
-855.614,0.890393,0.446906,3,7,0,862.743,4.98573,0.81666,0.800189,0.696084,1.63103,0.34793,0.769107,-0.263085,0.406434,0.287227,-0.377854,-0.398564,-0.631015,-0.696835,-0.0720242,-0.295548,0.82871,0.0972188,0.202026,0.153741,0.0082847,0.627973,20,-38.548,-40.838,-38.8772,-36.1046,-36.889,-37.744,-35.7939,-37.0783,-35.0553,-35.9231,-36.4754,-38.0229,-36.3897,-35.5698,-45.8869,-38.3051,-45.0891,-44.0205,-40.0795,-37.9072,-39.288,-36.7531
-854.607,0.890517,0.446906,3,7,0,866.809,4.01391,0.799623,1.30868,0.629464,0.541866,-0.484827,0.420525,-0.240275,0.0956159,-0.179421,0.0702182,-0.76209,-0.276445,-0.473652,-0.45687,0.0331512,0.0610164,-0.173328,0.403574,-0.00933162,0.253568,-0.115537,20,-38.4392,-36.4507,-39.9076,-36.7023,-34.9963,-36.5025,-35.5622,-36.4913,-36.0908,-37.6024,-37.7316,-38.7021,-37.514,-37.3873,-44.5991,-39.3192,-41.5622,-43.3462,-43.7055,-39.2735,-37.9875,-38.1077
-854.297,0.771245,0.446906,3,7,0,866.813,4.42064,1.23082,1.21953,0.452511,1.34383,-0.304863,0.590254,-0.075639,-0.230339,-0.144495,-0.163144,-0.284704,-0.619235,-0.618325,-0.249242,-0.528585,0.316245,-0.150914,0.18399,0.315852,-0.212723,0.462407,20,-38.2274,-37.5559,-38.3224,-35.5261,-36.5481,-37.7041,-36.2416,-36.9423,-35.8855,-34.8334,-35.1256,-38.114,-37.0736,-35.4846,-44.7962,-41.0254,-44.1758,-44.9549,-44.7475,-37.9621,-38.2608,-36.6184
-852.177,0.870189,0.446906,3,7,0,864.391,4.37035,1.08826,1.25829,0.449092,1.23368,-0.204904,0.757596,-0.383463,-0.0676946,-0.0711486,-0.211241,-0.266954,-0.364341,-0.743903,-0.185511,-0.407558,0.268044,-0.0382586,0.37683,0.344636,-0.191368,-0.0728643,20,-38.7859,-37.1801,-39.5339,-34.9522,-36.2028,-37.4461,-35.7416,-37.4821,-35.7299,-35.544,-35.8327,-38.0269,-37.6631,-35.8665,-44.9118,-39.5665,-42.8306,-44.6922,-43.8249,-38.7548,-37.478,-36.3144
-859.674,0.848398,0.446906,3,7,0,863.683,5.44671,0.54574,0.73448,0.896171,0.890721,-0.105895,0.358376,-0.108636,0.589069,0.0527576,-0.288731,-1.00333,-0.576823,-0.074866,-0.363922,-0.0275208,0.31911,-0.0363338,0.106448,-0.340782,0.0966202,1.00148,20,-37.1862,-39.6799,-39.2901,-39.5517,-34.9904,-36.2221,-34.9929,-36.1,-35.4806,-38.4883,-38.9588,-39.0704,-36.1895,-36.7174,-47.6556,-38.7142,-44.8777,-41.5662,-40.2661,-38.0794,-38.2567,-39.112
-854.728,0.989487,0.446906,3,7,0,866.732,4.69728,0.978624,1.01272,0.270118,1.15021,0.0154957,0.748945,-0.677782,-0.0270146,0.0150208,0.0841598,-0.477434,-0.526445,-1.15869,-0.199652,-0.462244,0.648814,0.0452747,0.147501,0.271216,0.0802955,-0.319857,20,-39.4508,-39.374,-39.07,-34.5461,-36.8797,-38.2273,-35.8847,-37.8432,-36.2581,-36.0246,-35.8822,-37.5241,-36.9586,-37.2568,-46.9355,-38.8295,-41.9857,-43.1303,-42.3924,-37.678,-39.2778,-34.894
-854.059,0.814408,0.446906,3,7,0,865.856,4.4344,0.873701,1.08048,0.704357,0.845758,-0.216661,0.178163,-0.070638,0.251858,-0.185931,-0.646951,-0.935426,-0.614451,-0.280347,-0.751887,-0.132717,-0.0494831,-0.402051,0.0938082,-0.375416,-0.182143,0.293746,20,-36.4778,-38.1932,-38.9701,-37.9237,-34.5767,-37.31,-35.2153,-35.5758,-34.2878,-37.3332,-37.8208,-38.4659,-36.1028,-35.1755,-45.3862,-41.017,-44.1645,-43.3739,-44.2934,-38.3608,-37.0637,-39.2596
-856.089,0.858762,0.446906,3,7,0,866.695,4.19535,0.716728,1.18866,0.612692,1.12824,-0.378403,0.34407,-0.237017,-0.00998356,-0.197073,-0.506898,-0.558667,-0.264025,-0.64006,-0.136064,-0.0304839,0.915351,-0.459257,0.0476575,-0.354701,-0.00832371,0.505559,20,-38.3191,-38.9395,-37.9666,-36.9267,-37.0642,-37.113,-37.7184,-37.268,-35.435,-35.5749,-36.218,-38.0254,-36.6875,-35.4159,-42.9637,-38.7374,-44.0028,-43.3665,-42.7678,-37.5325,-41.7387,-38.6364
-851.066,0.993485,0.446906,3,7,0,861.889,4.3634,0.67943,0.733502,0.512558,1.17206,-0.248734,0.583221,-0.205712,0.498036,-0.319867,-0.343976,-0.651454,-0.518306,-0.555099,-0.527438,-0.556939,0.335977,-0.175557,0.264416,0.0617347,0.326006,-0.19155,20,-38.5502,-37.9184,-39.6827,-36.443,-35.7556,-36.2284,-35.5916,-37.158,-35.1676,-37.0728,-37.9873,-38.472,-36.9565,-36.1338,-44.2726,-38.51,-43.4834,-43.7725,-40.6177,-38.504,-38.1662,-37.2655
-851.462,0.890627,0.446906,3,7,0,859.86,3.74005,0.698149,1.02999,0.467317,0.68923,-0.157407,0.267563,-0.576376,-0.401033,0.0563638,-0.224293,-0.794384,-0.665913,-0.649198,-0.294348,-0.00430028,0.300445,-0.22402,0.0587879,-0.163526,-0.398676,0.236929,20,-38.3554,-38.7633,-38.8326,-36.5102,-36.1957,-37.8171,-35.618,-36.3869,-35.923,-36.309,-36.0698,-38.3083,-36.8588,-36.6256,-43.9708,-39.204,-42.4138,-42.6923,-43.1574,-38.5785,-39.0029,-37.4161
-850.43,0.702097,0.446906,3,7,0,867.154,4.47566,0.65635,0.682158,0.515644,0.79233,-0.245275,0.529195,-0.956785,0.126841,-0.51834,-0.548917,-1.00337,-0.685041,-0.896293,-0.461973,-0.525628,0.0557617,-0.471806,0.0142267,-0.14693,0.13415,-0.0794365,20,-38.1559,-37.7993,-39.776,-35.7479,-35.0605,-37.5945,-34.0365,-37.5259,-35.2746,-36.6896,-37.1803,-39.1751,-36.8712,-35.9235,-45.8063,-38.3879,-43.5934,-42.8632,-41.9388,-38.2105,-37.6106,-37.0679
-850.168,0.872688,0.446906,3,7,0,860.644,3.38301,0.530662,0.56146,0.119895,0.547306,-0.541653,-0.135289,-0.614851,-0.459214,-0.528146,-0.538147,-1.07049,-1.01868,-1.27169,-0.9184,-0.501502,0.0514689,-0.379899,-0.226244,-0.538943,-0.726439,-0.308306,20,-38.3797,-38.3347,-38.5223,-35.7531,-35.7771,-37.6755,-35.9049,-35.8967,-35.1113,-36.9259,-36.7032,-37.4237,-36.5515,-36.5989,-43.5547,-39.9586,-42.6863,-43.0557,-43.1963,-37.9208,-38.7644,-37.3551
-850.189,0.717944,0.446906,3,7,0,862.23,3.96124,0.316988,0.457134,0.13832,0.546511,-0.606085,0.214179,-0.924433,-0.222191,-0.421876,-0.915921,-1.15342,-1.15665,-1.10869,-0.747449,-0.838629,-0.266826,-0.862596,-0.286097,-0.520874,0.0471401,-0.065029,20,-37.5617,-38.3326,-39.9703,-36.0148,-35.3278,-37.1168,-34.934,-37.2715,-35.0009,-35.784,-36.8754,-38.9975,-36.9654,-35.0944,-44.7547,-38.9497,-43.6715,-43.1121,-41.647,-38.8295,-37.9062,-36.9624
-856.67,0.687065,0.446906,3,7,0,864.983,3.78509,0.312201,0.456108,-0.0839329,0.512793,-0.690078,-0.265945,-0.855799,-0.535892,-1.0161,-1.09036,-1.63599,-1.38227,-1.52208,-0.962272,-0.74107,0.12819,-0.416114,-0.356433,-0.251248,-0.523072,-0.474914,20,-40.7552,-39.2292,-38.0924,-36.1531,-36.9042,-36.9511,-35.5999,-35.4777,-35.2006,-36.8664,-36.4947,-38.7137,-35.7362,-36.3513,-44.8793,-38.92,-42.6024,-44.428,-42.649,-37.697,-39.5822,-36.4417
-854.971,0.951046,0.446906,3,7,0,866.431,4.02459,0.0254318,0.62489,0.493715,0.588462,-0.70153,0.256665,-0.832636,0.019868,-0.640043,-0.559363,-0.956667,-0.74129,-0.860041,-0.724585,-0.885393,-0.278282,-0.836911,-0.239425,-0.766266,0.0116531,-0.271316,20,-36.5641,-37.1035,-40.1937,-36.5402,-34.7144,-36.3137,-35.3759,-37.8104,-35.8104,-37.294,-38.4019,-39.6337,-37.2507,-36.4837,-45.0106,-37.6211,-44.8184,-42.9921,-40.9019,-38.3582,-38.1923,-39.0254
-857.265,0.910509,0.446906,3,7,0,864.882,3.56933,0.300548,0.293896,0.00975255,0.893866,-0.0166091,0.27196,-1.0475,-0.311506,-0.595219,-0.459715,-1.15519,-0.906228,-0.551325,-0.690786,-0.416174,0.105202,0.0412021,-0.205256,-0.173742,-0.475014,-0.321401,20,-39.771,-39.2987,-38.7048,-37.285,-36.6914,-37.9652,-34.1288,-37.3656,-36.4331,-38.389,-37.5048,-37.7455,-37.1305,-38.3967,-45.2184,-37.9411,-42.952,-44.0224,-40.7317,-38.1106,-38.1744,-36.2161
-857.294,0.936226,0.446906,3,7,0,868.953,4.23071,0.724261,0.954103,0.440856,0.421778,-0.870655,0.0576377,-0.735497,-0.201247,-0.650495,-0.693315,-0.791848,-0.912413,-1.50304,-1.03063,-0.476592,-0.073098,-1.1142,-0.235485,-0.576191,-0.0940275,0.0217561,20,-37.044,-37.3296,-39.3356,-35.5009,-35.484,-37.8366,-36.3376,-37.1834,-34.0553,-35.6597,-37.0419,-39.161,-37.1137,-34.8686,-45.1629,-40.7565,-44.211,-43.0516,-45.3146,-37.7984,-38.6071,-38.3994
-861.437,0.825713,0.446906,3,7,0,871.317,3.98312,1.08068,0.432694,0.0893475,0.719679,-0.250096,0.337986,-0.675114,-0.136613,0.0665347,-0.628999,-1.20746,-1.1869,-1.08135,-1.30159,-0.990699,-0.515884,-0.603713,0.11392,-0.528983,-0.497971,-0.183588,20,-37.3837,-39.329,-42.1032,-34.7692,-34.0592,-40.2277,-34.593,-36.5834,-33.5935,-36.4907,-36.5796,-36.9523,-37.6412,-35.1196,-46.0258,-43.5546,-44.0811,-44.0477,-45.8154,-40.8027,-35.3806,-36.4127
-853.528,0.908849,0.446906,3,7,0,871.611,4.27688,0.456943,0.776837,0.444562,0.854893,-0.356131,0.0540683,-0.761018,-0.0227687,-0.82787,-0.546927,-0.843913,-0.444616,-1.12893,-0.722231,-0.356081,0.24998,-0.511402,-0.366862,-0.10395,0.0346019,0.331791,20,-38.4141,-38.3359,-37.249,-36.1422,-36.5126,-37.6606,-35.809,-36.7418,-35.6207,-36.991,-37.3694,-39.4739,-36.1446,-36.6349,-44.6551,-38.1175,-44.2884,-43.0868,-42.1685,-36.5972,-39.0517,-38.3976
-863.597,0.589638,0.446906,3,7,0,872.3,4.3945,0.408428,1.21867,-0.501898,0.854243,0.244881,0.493971,-0.328317,0.0634262,-0.278106,-0.379059,-0.797994,-0.998042,-1.25888,-1.04159,-0.514334,-0.0740557,-0.248557,-0.223006,0.0329811,-0.173646,-0.226256,20,-38.3267,-41.0003,-38.6563,-36.1145,-36.4271,-38.49,-35.7813,-37.3927,-35.1685,-37.3822,-37.9894,-36.6374,-36.9788,-37.9437,-49.7386,-40.2051,-40.7389,-44.7554,-44.2036,-37.9235,-37.7135,-35.3689
-859.636,0.919168,0.446906,3,7,0,875.636,3.68944,0.865422,0.389173,0.678486,0.757461,-0.321139,0.302263,-0.768209,0.0262697,0.0915399,-0.832455,-0.962422,-0.523766,-0.661334,-0.336512,-0.310899,0.0560903,-0.547173,0.665926,-0.0659517,-0.0759328,0.85299,20,-40.267,-38.2602,-42.597,-35.7922,-35.7961,-38.3346,-35.371,-36.3334,-35.0217,-36.291,-36.3913,-39.782,-39.1486,-34.5612,-40.7222,-39.7328,-44.9781,-43.9854,-41.8061,-41.8362,-36.9719,-38.1128
-853.932,1,0.446906,3,7,0,866.16,4.89145,0.716124,0.646921,0.27912,0.960168,-0.519822,0.575459,-0.392273,-0.268823,-0.265047,-0.126227,-0.429912,-0.775987,-0.664543,-0.640218,-0.289367,0.0223747,-0.0573632,-0.101142,-0.336573,0.259725,-0.248521,20,-37.2891,-37.7811,-39.2025,-37.4146,-35.7535,-36.651,-35.5283,-38.1913,-35.6522,-36.6728,-36.871,-37.428,-38.0429,-36.7225,-47.7719,-39.4414,-42.9389,-42.9059,-41.4985,-38.1564,-37.9529,-36.6861
-852.742,0.938968,0.446906,3,7,0,862.206,4.98402,0.739028,0.714888,0.341255,1.12324,-0.450505,0.454242,-0.602939,-0.175238,-0.330977,-0.30595,-0.599687,-0.541981,-0.512857,-0.643442,-0.348212,-0.123688,-0.271474,-0.0402589,-0.500664,0.322649,0.00467145,20,-36.543,-37.3368,-39.0678,-37.3104,-34.8839,-37.0999,-34.7169,-37.4572,-35.4018,-36.6419,-36.8734,-37.4489,-37.5532,-36.1852,-47.448,-39.3554,-44.432,-44.0887,-42.0627,-38.4003,-37.2777,-37.4199
-856.038,0.868788,0.446906,3,7,0,861.279,4.75222,0.69509,0.704402,0.157502,1.15082,-0.139024,0.526639,-0.314081,-0.345129,-0.29747,-0.0998541,-1.08228,-0.335004,-0.33438,-0.399252,-0.34741,-0.0710879,-0.605462,-0.0362574,-0.257146,0.197122,-0.241697,20,-36.8959,-38.5557,-38.6892,-37.5972,-34.8966,-38.1722,-34.6998,-37.2869,-36.9479,-36.0187,-35.4698,-37.3351,-37.1854,-36.8807,-47.7522,-40.0002,-43.6623,-43.9999,-42.1748,-38.8837,-38.0746,-37.4917
-857.145,0.930439,0.446906,3,7,0,865.35,3.57114,0.965272,1.15622,0.898022,0.779634,-0.13828,0.338607,-0.395497,0.518466,0.12737,-0.432993,-0.390068,-0.859299,-0.920432,-0.492734,-0.312552,0.739815,0.23665,0.309808,0.0927117,-0.127941,0.528382,20,-39.6892,-38.9177,-40.0355,-35.2336,-37.031,-37.1621,-36.9163,-36.3387,-34.067,-38.0338,-38.6715,-39.4985,-36.2977,-36.2282,-41.9657,-39.2277,-43.4612,-42.6695,-43.1694,-37.8066,-39.3372,-37.5681
-854.713,1,0.446906,3,7,0,862.302,4.72719,0.761646,0.87881,0.339624,1.3178,-0.00217938,0.729415,-0.164203,-0.14305,-0.138556,0.038362,-0.872522,-0.184771,-0.511256,-0.155329,-0.172298,0.0106482,-0.445301,0.135336,-0.170393,0.279133,0.00592832,20,-36.7742,-38.2704,-38.9694,-36.9118,-34.5194,-38.0691,-34.7321,-37.4006,-37.015,-36.0136,-35.7596,-37.3168,-37.4562,-36.919,-47.1066,-39.6426,-43.8503,-44.0897,-41.8631,-39.0408,-37.978,-37.6858
-855.177,0.927431,0.446906,3,7,0,865.969,4.08536,1.15547,1.22967,0.337489,0.815935,-0.0822167,0.320115,-0.310978,0.483815,-0.0341403,-0.473235,-0.24069,-0.703454,-0.340567,-0.521909,-0.141841,0.623808,0.226719,0.410204,0.26523,0.330479,-0.0873249,20,-39.7037,-38.4562,-39.0845,-36.6773,-37.282,-37.412,-36.6758,-36.6144,-34.147,-37.573,-38.3764,-37.8577,-36.8026,-36.2916,-43.9564,-40.2823,-40.757,-43.3721,-44.139,-37.9872,-38.6126,-35.7781
-860.637,0.780401,0.446906,3,7,0,869.524,4.33695,1.12032,1.64352,0.848023,1.18063,-0.140354,0.60445,0.031562,0.654261,-0.0931318,-0.359979,-0.546936,-1.03254,-0.633422,-0.513152,-0.214406,0.764721,-0.256679,0.472035,0.543382,-0.151549,0.194697,20,-39.8195,-38.6693,-39.2777,-35.7587,-37.0688,-36.1411,-36.5804,-36.1891,-34.0116,-35.8544,-37.6135,-39.6367,-36.1103,-35.0543,-44.4602,-39.9328,-43.427,-45.281,-45.1782,-38.1713,-39.6512,-36.9866
-862.13,0.630755,0.446906,3,7,0,880.059,4.24333,1.64381,0.723991,0.914444,1.45623,0.0803148,0.494474,-0.453115,0.53071,-0.00406829,-0.236706,-0.634172,-0.210126,-0.517357,0.222023,-0.524883,0.752593,0.198524,0.875279,0.162103,0.00978348,0.0881887,20,-39.9253,-37.6305,-40.6244,-34.6514,-35.3313,-39.7553,-35.2348,-35.7153,-35.7394,-37.3466,-36.8977,-38.2905,-37.0309,-35.8791,-42.1576,-41.5843,-45.1253,-44.6034,-44.4287,-39.4647,-38.3396,-37.2949
-854.416,0.957487,0.446906,3,7,0,869.838,4.49675,1.49425,0.940026,0.797479,1.26555,0.071984,0.623131,-0.400476,0.466747,0.0394968,0.0328815,-0.519554,-0.14932,-0.649648,0.0869621,-0.564946,0.749154,0.299501,0.476827,0.129784,0.254412,0.173087,20,-38.6294,-37.8465,-39.2609,-34.6015,-35.2236,-39.1197,-35.3941,-36.3506,-35.8955,-37.5089,-37.1026,-37.8268,-35.9728,-36.7647,-44.1417,-40.7644,-43.6215,-42.7735,-43.8961,-37.6071,-38.572,-36.8075
